,Carrera,Ciclo,Materia
178,Carrera de Tecnologías de la Información ,Ciclo II,Cálculo Diferencial
179,Carrera de Tecnologías de la Información ,Ciclo II,Fundamentos de Hardware
180,Carrera de Tecnologías de la Información ,Ciclo II,Computación Ubícua
181,Carrera de Tecnologías de la Información ,Ciclo II,Fundamentos de Programación
182,Carrera de Tecnologías de la Información ,Ciclo II,Antropología Básica
183,Carrera de Tecnologías de la Información ,Ciclo III,Cálculo Integral
184,Carrera de Tecnologías de la Información ,Ciclo III,Estrucutras Discretas
185,Carrera de Tecnologías de la Información ,Ciclo III,Arquitectura de Computadoras y Sistemas Operativos
186,Carrera de Tecnologías de la Información ,Ciclo III,Programación Orientada a Objetos
187,Carrera de Tecnologías de la Información ,Ciclo III,Estructuras de Datos
188,Carrera de Tecnologías de la Información ,Ciclo III,Ética y Moral
189,Carrera de Tecnologías de la Información ,Ciclo IV,Estadística para la Ingenierías y la Arquitectura
190,Carrera de Tecnologías de la Información ,Ciclo IV,Modelado de Sistemas
191,Carrera de Tecnologías de la Información ,Ciclo IV,Prácticum I
192,Carrera de Tecnologías de la Información ,Ciclo IV,Fundamentos de Base de Datos
193,Carrera de Tecnologías de la Información ,Ciclo IV,Tecnologías Web
194,Carrera de Tecnologías de la Información ,Ciclo IV,Comunicación Técnica y Profesional
195,Carrera de Tecnologías de la Información ,Ciclo V,Fundamentos de Interacción Humano Computador
196,Carrera de Tecnologías de la Información ,Ciclo V,Comunicación de Datos
197,Carrera de Tecnologías de la Información ,Ciclo V,Prácticum II
198,Carrera de Tecnologías de la Información ,Ciclo V,Fundamentos de Ingeniería de Software
199,Carrera de Tecnologías de la Información ,Ciclo V,Administración de Base de Datos
200,Carrera de Tecnologías de la Información ,Ciclo V,Desarrollo Web
201,Carrera de Tecnologías de la Información ,Ciclo VI,Redes de Dispositivos
202,Carrera de Tecnologías de la Información ,Ciclo VI,Planificación Estratégica y Sistemas de Calidad Empresarial
203,Carrera de Tecnologías de la Información ,Ciclo VI,Metodologías de Desarrollo
204,Carrera de Tecnologías de la Información ,Ciclo VI,Gestión de la Calidad del Software
205,Carrera de Tecnologías de la Información ,Ciclo VI,Ingeniería de Requisitos
206,Carrera de Tecnologías de la Información ,Ciclo VI,Itinerario I: Plataformas Emergentes
207,Carrera de Tecnologías de la Información ,Ciclo VI,Itinerario II: Desarrollo Basado en Plataformas Web
208,Carrera de Tecnologías de la Información ,Ciclo VII,Arquitectura de Redes
209,Carrera de Tecnologías de la Información ,Ciclo VII,Arquitectura de Software
210,Carrera de Tecnologías de la Información ,Ciclo VII,Prácticum III: Servicio Comunitario
211,Carrera de Tecnologías de la Información ,Ciclo VII,Arquitectura Empresarial
212,Carrera de Tecnologías de la Información ,Ciclo VII,Gestión de Proyectos
213,Carrera de Tecnologías de la Información ,Ciclo VII,Itinerario I: Modelado del Usuario
214,Carrera de Tecnologías de la Información ,Ciclo VII,Itinerario II: Desarrollo basado en Plataformas Móviles
215,Carrera de Tecnologías de la Información ,Ciclo VIII,Fundamentos y Aplicación de Seguridad de la Información
216,Carrera de Tecnologías de la Información ,Ciclo VIII,Sistemas Distribuidos
217,Carrera de Tecnologías de la Información ,Ciclo VIII,Aplicación de Matemáticas y Estadística en Tecnologías de la Información
218,Carrera de Tecnologías de la Información ,Ciclo VIII,Organización y Administración de Infraestructura de Tecnologías de la Información
219,Carrera de Tecnologías de la Información ,Ciclo VIII,Prácticum 4.1
220,Carrera de Tecnologías de la Información ,Ciclo VIII,Itinerario I: Aplicación de Interacción Humano Computador
221,Carrera de Tecnologías de la Información ,Ciclo VIII,Itinerario II: Programación Integrativa
222,Carrera de Tecnologías de la Información ,Ciclo IX,Gobernanza de Tecnologías de la Información
223,Carrera de Tecnologías de la Información ,Ciclo IX,Evaluación de la Seguridad en Sistemas de Tecnologías de la Información
224,Carrera de Tecnologías de la Información ,Ciclo IX,Proyectos de Tecnologías de la Información
225,Carrera de Tecnologías de la Información ,Ciclo IX,Emprendimiento
226,Carrera de Tecnologías de la Información ,Ciclo IX,Prácticum 4.2
227,Carrera de Tecnologías de la Información ,Ciclo IX,Composición de Textos Científicos
